sample ids,ENSG00000000005.6,ENSG00000000457.14,ENSG00000000460.17,ENSG00000000938.13,ENSG00000001036.14,ENSG00000001084.13,ENSG00000001460.18,ENSG00000001461.17,ENSG00000001497.18,ENSG00000001561.7,ENSG00000001617.12,ENSG00000001629.10,ENSG00000002016.18,ENSG00000002330.14,ENSG00000002586.20,ENSG00000002587.10
TCGA-N8-A4PO-01A-11R-A28V-07,42,988,1076,236,3433,1804,576,1432,2338,1010,6593,4014,1919,669,7621,7856
TCGA-NF-A4X2-01A-11R-A28V-07,142,763,1038,245,4362,1894,621,980,7406,223,2410,3024,529,876,34366,136
TCGA-N5-A4RV-01A-21R-A28V-07,11132,282,368,227,1614,530,388,378,2219,147,5997,649,1868,944,47227,65
TCGA-N5-A4RA-01A-11R-A28V-07,5,442,513,95,1969,583,316,384,1966,909,1973,1758,446,478,6986,63
TCGA-QM-A5NM-01A-11R-A28V-07,201,318,290,27,2852,399,557,1448,2335,358,4715,1806,462,1134,11850,392
TCGA-N9-A4PZ-01A-22R-A28V-07,38,1277,1251,113,5553,1166,536,986,4355,466,5081,5624,427,663,13498,288
TCGA-NA-A4R0-01A-11R-A28V-07,428,633,558,842,2124,1431,965,1518,2277,893,1895,2928,547,513,16199,307
TCGA-ND-A4WA-01A-12R-A28V-07,22,668,591,187,3587,1697,1036,2468,3204,2169,19450,3001,875,1013,7330,513
TCGA-NA-A4QW-01A-11R-A28V-07,1189,581,616,140,1260,1617,326,845,2256,1606,1722,2143,662,406,12318,228
TCGA-N6-A4VC-01A-11R-A28V-07,8,946,730,94,2231,1519,632,1087,2069,1090,10415,2233,624,325,3755,303
TCGA-N9-A4Q4-01A-11R-A28V-07,60,508,708,95,2915,1190,184,247,3597,535,1804,2316,495,1429,9798,150
TCGA-NA-A4QX-01A-11R-A28V-07,309,517,666,151,2471,1732,297,334,1854,1114,2185,2417,731,403,11444,142
TCGA-NG-A4VW-01A-11R-A28V-07,249,1343,666,41,1217,1413,1188,2278,2390,827,5387,2381,309,529,4465,1249
